User_Id,Customer_Age,Trx_Vlu,Trx_Age,Trx_Rank,Points,Category In English,Mer_Id
1768,268,212.9,268,1,2129,Grocery,3
1771,279,88.0,279,1,880,Grocery,3
1772,164,1038.0,164,1,10380,Grocery,3
1773,295,192.0,295,1,1920,Grocery,3
1774,20,256.0,123,1,2560,Grocery,3
1776,268,82.0,268,1,820,Grocery,3
1778,191,165.6,191,1,1656,Grocery,3
1781,20,868.0,143,1,8680,Grocery,3
1782,249,138.3,249,1,1383,Grocery,3
1787,286,340.5,286,1,3405,Grocery,3
1791,278,82.5,278,1,825,Grocery,3
1795,78,785.3,78,1,7853,Grocery,3
1796,244,56.1,244,1,561,Grocery,3
1798,231,178.7,231,1,1787,Grocery,3
1800,288,232.1,288,1,2321,Grocery,3
1807,298,555.4,298,1,5554,Grocery,3
1819,241,372.5,241,1,3725,Grocery,3
1822,254,175.0,254,1,1750,Grocery,3
1826,235,128.0,235,1,1280,Grocery,3
1829,272,166.0,272,1,1660,Grocery,3
1834,220,158.0,220,1,1580,Grocery,3
1839,175,123.9,175,1,1239,Grocery,3
1852,305,163.7,305,1,1637,Grocery,3
1857,183,124.0,183,1,1240,Grocery,3
1862,149,249.3,149,1,2493,Grocery,3
1865,68,108.5,68,1,1085,Grocery,3
1873,327,107.7,327,1,1077,Grocery,3
1878,136,572.8,136,1,5728,Grocery,3
1898,161,240.0,275,1,2400,Grocery,3
1898,161,128.0,239,2,1280,Grocery,3
1901,251,150.0,251,1,1500,Grocery,3
1912,286,371.8,286,1,3718,Grocery,3
1913,266,101.4,266,1,1014,Grocery,3
1917,291,172.7,291,1,1727,Grocery,3
1924,46,440.0,46,1,4400,Grocery,3
1933,108,215.1,108,1,2151,Grocery,3
1935,233,149.7,233,1,1497,Grocery,3
1946,140,53.3,140,1,533,Grocery,3
1952,28,176.9,28,1,1769,Grocery,3
1960,266,587.7,266,1,5877,Grocery,3
1963,230,198.5,230,1,1985,Grocery,3
1964,212,245.5,212,1,2455,Grocery,3
1966,272,204.0,272,1,2040,Grocery,3
1971,188,185.6,188,1,1856,Grocery,3
1974,54,284.0,54,1,2840,Grocery,3
1976,140,850.5,294,1,8505,Grocery,3
1976,140,105.0,264,2,1050,Grocery,3
1981,284,122.0,284,1,1220,Grocery,3
1985,304,100.0,304,1,1000,Grocery,3
1989,225,208.0,225,1,2080,Grocery,3
1995,102,185.9,102,1,1859,Grocery,3
2000,88,274.5,88,1,2745,Grocery,3
2002,93,129.1,93,1,1291,Grocery,3
2013,279,126.9,279,1,1269,Grocery,3
2015,262,102.0,262,1,1020,Grocery,3
2017,33,70.8,294,1,708,Grocery,3
2024,174,179.9,174,1,1799,Grocery,3
2029,72,328.7,72,1,3287,Grocery,3
2032,154,100.0,154,1,1000,Grocery,3
2036,299,140.8,299,1,1408,Grocery,3
2037,305,110.0,305,1,1100,Grocery,3
2038,240,92.0,240,1,920,Grocery,3
2041,307,122.6,307,1,1226,Grocery,3
2047,125,233.1,125,1,2331,Grocery,3
2055,222,63.1,222,1,631,Grocery,3
2056,305,150.8,305,1,1508,Grocery,3
2057,225,157.6,225,1,1576,Grocery,3
2058,104,177.8,104,1,1778,Grocery,3
2089,45,110.0,45,1,1100,Grocery,3
2091,250,836.5,298,1,8365,Grocery,3
2107,252,184.9,252,1,1849,Grocery,3
2108,291,100.0,291,1,1000,Grocery,3
2111,6,554.0,298,1,5540,Grocery,3
2121,292,713.1,292,1,7131,Grocery,3
2123,41,197.6,206,1,1976,Grocery,3
2137,90,157.4,90,1,1574,Grocery,3
2143,290,209.3,290,1,2093,Grocery,3
2157,296,190.7,296,1,1907,Grocery,3
2160,208,300.8,208,1,3008,Grocery,3
2163,258,250.4,258,1,2504,Grocery,3
2165,236,118.0,236,1,1180,Grocery,3
2169,303,120.0,303,1,1200,Grocery,3
2171,21,169.8,21,1,1698,Grocery,3
2179,272,158.0,272,1,1580,Grocery,3
2181,305,6.6,305,1,66,Grocery,3
2182,234,186.0,234,1,1860,Grocery,3
2186,175,158.0,175,1,1580,Grocery,3
2195,172,66.0,172,1,660,Grocery,3
2196,108,226.3,108,1,2263,Grocery,3
2201,121,269.4,121,1,2694,Grocery,3
2209,137,14.4,262,1,144,Grocery,3
2209,137,12.9,205,2,129,Grocery,3
2209,137,12.9,137,3,129,Grocery,3
2211,286,153.9,286,1,1539,Grocery,3
2214,62,449.6,243,1,4496,Grocery,3
2215,260,161.7,260,1,1617,Grocery,3
2217,259,131.6,259,1,1316,Grocery,3
2220,140,139.6,140,1,1396,Grocery,3
2227,31,187.7,31,1,1877,Grocery,3
2230,255,2382.3,255,1,23823,Grocery,3
2232,281,56.4,281,1,564,Grocery,3
2239,136,55.6,136,1,556,Grocery,3
2241,57,213.9,57,1,2139,Grocery,3
2244,167,140.0,167,1,1400,Grocery,3
2245,34,142.6,270,1,1426,Grocery,3
2254,104,183.0,104,1,1830,Grocery,3
2256,20,658.2,279,1,6582,Grocery,3
2260,158,292.3,158,1,2923,Grocery,3
2266,100,151.6,100,1,1516,Grocery,3
2270,159,152.4,159,1,1524,Grocery,3
2272,174,165.9,174,1,1659,Grocery,3
2275,139,200.0,139,1,2000,Grocery,3
2294,271,195.6,271,1,1956,Grocery,3
2298,34,418.0,324,1,4180,Grocery,3
2299,298,199.7,298,1,1997,Grocery,3
2310,147,242.0,147,1,2420,Grocery,3
2318,266,53.7,266,1,537,Grocery,3
2326,93,1202.0,93,1,12020,Grocery,3
2328,179,262.6,268,1,2626,Grocery,3
2331,309,98.0,309,1,980,Grocery,3
2332,251,182.0,251,1,1820,Grocery,3
2334,293,126.9,293,1,1269,Grocery,3
2344,41,225.0,41,1,2250,Grocery,3
2358,253,146.0,253,1,1460,Grocery,3
2362,125,198.3,125,1,1983,Grocery,3
2364,257,186.7,257,1,1867,Grocery,3
2368,267,72.3,267,1,723,Grocery,3
2371,55,275.0,291,1,2750,Grocery,3
2374,150,322.0,266,1,3220,Grocery,3
2374,150,84.8,150,2,848,Grocery,3
2379,27,510.0,266,1,5100,Grocery,3
2385,248,519.2,248,1,5192,Grocery,3
2386,238,81.3,238,1,813,Grocery,3
2393,33,87.1,311,1,871,Grocery,3
2397,246,130.0,246,1,1300,Grocery,3
2406,9,26.5,9,1,265,Grocery,3
2410,277,133.0,277,1,1330,Grocery,3
2444,249,119.7,249,1,1197,Grocery,3
2448,162,128.0,162,1,1280,Grocery,3
2449,288,309.2,288,1,3092,Grocery,3
2452,179,295.9,179,1,2959,Grocery,3
2461,272,164.9,272,1,1649,Grocery,3
2467,299,190.0,299,1,1900,Grocery,3
2477,266,44.5,266,1,445,Grocery,3
2482,162,400.0,162,1,4000,Grocery,3
2487,267,185.5,267,1,1855,Grocery,3
2490,284,477.1,284,1,4771,Grocery,3
2494,230,182.3,230,1,1823,Grocery,3
2508,233,127.0,233,1,1270,Grocery,3
2512,143,130.2,143,1,1302,Grocery,3
2516,38,253.0,221,1,2530,Grocery,3
2516,38,104.0,38,2,1040,Grocery,3
2517,198,169.9,198,1,1699,Grocery,3
2521,249,209.0,249,1,2090,Grocery,3
2524,209,179.9,209,1,1799,Grocery,3
2526,260,167.0,260,1,1670,Grocery,3
2530,309,200.0,309,1,2000,Grocery,3
2532,176,411.9,176,1,4119,Grocery,3
2540,168,600.0,293,1,6000,Grocery,3
2563,28,125.7,242,1,1257,Grocery,3
2563,28,125.7,241,2,1257,Grocery,3
2566,241,158.0,241,1,1580,Grocery,3
2569,244,110.1,244,1,1101,Grocery,3
2577,258,144.9,258,1,1449,Grocery,3
2588,59,216.7,59,1,2167,Grocery,3
2591,69,1000.0,270,1,10000,Grocery,3
2599,25,340.0,271,1,3400,Grocery,3
2604,258,216.0,258,1,2160,Grocery,3
2605,242,151.7,242,1,1517,Grocery,3
2607,279,182.8,279,1,1828,Grocery,3
2622,128,199.7,128,1,1997,Grocery,3
2623,189,154.0,189,1,1540,Grocery,3
2626,253,537.0,253,1,5370,Grocery,3
2629,265,157.1,265,1,1571,Grocery,3
2632,250,137.7,250,1,1377,Grocery,3
2635,40,164.0,40,1,1640,Grocery,3
2639,39,277.3,299,1,2773,Grocery,3
2642,13,198.9,218,1,1989,Grocery,3
2646,248,158.3,248,1,1583,Grocery,3
2650,255,326.0,255,1,3260,Grocery,3
2668,207,130.0,207,1,1300,Grocery,3
2686,68,200.0,68,1,2000,Grocery,3
2695,109,169.8,109,1,1698,Grocery,3
2711,250,132.4,250,1,1324,Grocery,3
2712,270,102.9,270,1,1029,Grocery,3
2716,44,200.0,44,1,2000,Grocery,3
2721,269,168.0,310,1,1680,Grocery,3
2721,269,26.5,269,2,265,Grocery,3
2725,95,229.1,95,1,2291,Grocery,3
2730,110,1000.0,126,1,10000,Grocery,3
2733,255,58.9,275,1,589,Grocery,3
2733,255,398.5,255,2,3985,Grocery,3
2739,294,100.0,294,1,1000,Grocery,3
2742,289,281.3,289,1,2813,Grocery,3
2754,266,1636.0,270,1,16360,Grocery,3
2772,236,186.0,236,1,1860,Grocery,3
2781,294,139.9,294,1,1399,Grocery,3
2787,246,313.8,246,1,3138,Grocery,3
2788,230,174.0,230,1,1740,Grocery,3
2789,166,167.7,166,1,1677,Grocery,3
2797,260,167.4,260,1,1674,Grocery,3
2798,31,163.5,31,1,1635,Grocery,3
2800,148,291.5,148,1,2915,Grocery,3
2809,71,154.2,71,1,1542,Grocery,3
2813,219,165.7,219,1,1657,Grocery,3
2815,268,217.5,268,1,2175,Grocery,3
2821,197,192.3,197,1,1923,Grocery,3
2826,302,45.4,302,1,454,Grocery,3
2829,66,690.0,191,1,6900,Grocery,3
2829,66,215.5,66,2,2155,Grocery,3
2836,245,152.0,245,1,1520,Grocery,3
2844,290,274.9,290,1,2749,Grocery,3
2848,250,142.0,250,1,1420,Grocery,3
2849,240,56.0,240,1,560,Grocery,3
2866,291,167.1,291,1,1671,Grocery,3
2871,91,177.7,91,1,1777,Grocery,3
2873,210,126.0,210,1,1260,Grocery,3
2876,64,270.1,285,1,2701,Grocery,3
2880,225,585.8,225,1,5858,Grocery,3
2888,287,152.0,287,1,1520,Grocery,3
2895,141,260.0,141,1,2600,Grocery,3
2917,156,356.2,156,1,3562,Grocery,3
2929,33,226.0,288,1,2260,Grocery,3
2929,33,30.6,137,2,306,Grocery,3
2931,250,144.5,250,1,1445,Grocery,3
2938,116,315.9,116,1,3159,Grocery,3
2939,166,240.5,166,1,2405,Grocery,3
2943,183,120.0,183,1,1200,Grocery,3
2944,96,52.6,96,1,526,Grocery,3
2946,61,273.3,61,1,2733,Grocery,3
2953,302,146.2,302,1,1462,Grocery,3
2967,167,63.3,167,1,633,Grocery,3
2970,238,323.8,238,1,3238,Grocery,3
2974,148,94.0,148,1,940,Grocery,3
2990,294,181.7,294,1,1817,Grocery,3
2996,93,96.0,93,1,960,Grocery,3
2998,296,167.3,296,1,1673,Grocery,3
3005,315,147.2,315,1,1472,Grocery,3
3007,78,190.1,246,1,1901,Grocery,3
3007,78,12.6,78,2,126,Grocery,3
3010,256,187.3,256,1,1873,Grocery,3
3019,245,268.5,245,1,2685,Grocery,3
3020,201,165.9,201,1,1659,Grocery,3
3044,118,202.0,151,1,2020,Grocery,3
3044,118,265.4,142,2,2654,Grocery,3
3044,118,512.6,118,3,5126,Grocery,3
3051,273,188.0,273,1,1880,Grocery,3
3054,254,205.3,254,1,2053,Grocery,3
3055,258,133.6,258,1,1336,Grocery,3
3060,201,359.3,201,1,3593,Grocery,3
3064,76,245.8,76,1,2458,Grocery,3
3068,273,127.4,273,1,1274,Grocery,3
3073,231,91.7,231,1,917,Grocery,3
3081,229,130.0,229,1,1300,Grocery,3
3091,161,521.1,161,1,5211,Grocery,3
3111,296,482.7,296,1,4827,Grocery,3
3113,84,148.0,84,1,1480,Grocery,3
3121,205,283.4,205,1,2834,Grocery,3
3124,227,92.0,227,1,920,Grocery,3
3128,218,116.4,218,1,1164,Grocery,3
3137,163,178.5,163,1,1785,Grocery,3
3138,89,179.1,89,1,1791,Grocery,3
3145,291,504.7,291,1,5047,Grocery,3
3148,267,84.2,267,1,842,Grocery,3
3151,233,80.0,233,1,800,Grocery,3
3152,145,200.0,145,1,2000,Grocery,3
3152,145,89.2,145,2,892,Grocery,3
3153,284,146.6,284,1,1466,Grocery,3
3155,295,132.0,295,1,1320,Grocery,3
3162,300,246.9,300,1,2469,Grocery,3
3166,180,804.0,180,1,8040,Grocery,3
3170,154,301.4,154,1,3014,Grocery,3
3172,214,122.0,214,1,1220,Grocery,3
3174,250,51.3,250,1,513,Grocery,3
3187,256,1800.0,256,1,18000,Grocery,3
3189,121,474.1,121,1,4741,Grocery,3
3192,264,134.8,264,1,1348,Grocery,3
3193,270,231.4,270,1,2314,Grocery,3
3194,88,330.0,88,1,3300,Grocery,3
3204,316,56.0,316,1,560,Grocery,3
3219,250,185.4,250,1,1854,Grocery,3
3224,261,180.0,261,1,1800,Grocery,3
3226,12,202.0,246,1,2020,Grocery,3
3240,193,114.0,193,1,1140,Grocery,3
3242,163,272.0,163,1,2720,Grocery,3
3253,305,51.0,305,1,510,Grocery,3
3257,138,213.8,138,1,2138,Grocery,3
