Cluster,Cluster_Name,Merchant_Id,Transaction_Count,Total_Revenue,Avg_Transaction,Merchant_Score
1,😴 At-Risk/Dormant,23,1,150.0,150.0,0.6028777428366505
1,😴 At-Risk/Dormant,48,1,140.0,140.0,0.6026858933142072
1,😴 At-Risk/Dormant,5,1,52.0,52.0,0.6009976175167056
1,😴 At-Risk/Dormant,36,1,18.0,18.0,0.6003453291403981
2,🛒 Regular Customers,8,730,1532543.1,2099.3741095890414,467.40176618588856
2,🛒 Regular Customers,54,279,540155.8,1936.0422939068103,177.76286322750178
2,🛒 Regular Customers,29,278,488191.0,1756.0827338129495,176.16592102111522
2,🛒 Regular Customers,3,187,339211.2,1813.9636363636364,118.70775067274434
2,🛒 Regular Customers,13,82,138417.5,1688.0182926829268,51.855533127280545
2,🛒 Regular Customers,7,72,73653.2,1022.9611111111111,44.61303312464262
2,🛒 Regular Customers,47,47,107941.5,2296.627659574468,30.270852522682127
2,🛒 Regular Customers,40,43,70812.3,1646.7976744186046,27.158530593811683
2,🛒 Regular Customers,26,38,63678.2,1675.7421052631578,24.02166322600536
2,🛒 Regular Customers,46,35,71948.0,2055.657142857143,22.380318944075576
2,🛒 Regular Customers,9,25,36736.8,1469.4720000000002,15.704793753609769
2,🛒 Regular Customers,43,25,35687.9,1427.516,15.684670657200684
2,🛒 Regular Customers,22,24,44786.8,1866.1166666666668,15.259232619176682
2,🛒 Regular Customers,44,15,22078.0,1471.8666666666666,9.423565375650478
2,🛒 Regular Customers,33,12,17886.0,1490.5,7.543142055842216
2,🛒 Regular Customers,4,10,18064.0,1806.4,6.346556977341708
2,🛒 Regular Customers,28,6,13970.0,2328.3333333333335,3.868013782853391
2,🛒 Regular Customers,25,4,4160.0,1040.0,2.4798094013364427
2,🛒 Regular Customers,11,4,3537.0,884.25,2.467857176088221
2,🛒 Regular Customers,18,3,5164.0,1721.3333333333333,1.8990710933897574
2,🛒 Regular Customers,0,3,3984.0,1328.0,1.8764328497414395
2,🛒 Regular Customers,16,1,2280.0,2280.0,0.6437416911170889
2,🛒 Regular Customers,37,1,2194.0,2194.0,0.642091785224076
2,🛒 Regular Customers,39,1,2000.0,2000.0,0.6383699044886745
2,🛒 Regular Customers,1,1,1674.0,1674.0,0.6321156100570205
2,🛒 Regular Customers,20,1,1438.0,1438.0,0.627587961327357
2,🛒 Regular Customers,17,1,1126.0,1126.0,0.6216022562271237
2,🛒 Regular Customers,23,1,800.0,800.0,0.6153479617954698
2,🛒 Regular Customers,52,1,500.0,500.0,0.6095924761221686
3,🆕 Recent Shoppers,8,7314,2084967.4,285.06527208094064,4428.4
3,🆕 Recent Shoppers,3,1684,463433.0,275.1977434679335,1019.2909399734499
3,🆕 Recent Shoppers,29,1049,345308.4,329.178646329838,636.0247251635685
3,🆕 Recent Shoppers,54,983,243209.0,247.41505595116988,594.465953050393
3,🆕 Recent Shoppers,7,742,184145.1,248.17398921832884,448.7328149495287
3,🆕 Recent Shoppers,33,585,133898.7,228.88666666666668,353.5688401650788
3,🆕 Recent Shoppers,26,344,88627.8,257.6389534883721,208.10032011052067
3,🆕 Recent Shoppers,47,221,71806.5,324.91628959276017,133.977604273333
3,🆕 Recent Shoppers,13,202,64480.4,319.209900990099,122.43705339469575
3,🆕 Recent Shoppers,22,136,36144.2,265.7661764705882,82.29342475090976
3,🆕 Recent Shoppers,40,98,22699.1,231.62346938775508,59.23548114948943
3,🆕 Recent Shoppers,4,48,14283.3,297.56874999999997,29.07402442839154
3,🆕 Recent Shoppers,46,34,16951.0,498.55882352941177,20.72520412549376
3,🆕 Recent Shoppers,52,33,7771.0,235.4848484848485,19.949086263890745
3,🆕 Recent Shoppers,55,32,8094.2,252.94375,19.355286840456113
3,🆕 Recent Shoppers,11,28,10096.0,360.57142857142856,16.99369127785883
3,🆕 Recent Shoppers,12,28,7596.8,271.31428571428575,16.94574424520978
3,🆕 Recent Shoppers,31,20,6592.0,329.6,12.126467205194672
3,🆕 Recent Shoppers,35,20,4421.0,221.05,12.084816673872215
3,🆕 Recent Shoppers,37,14,3390.0,242.14285714285714,8.465036988108304
3,🆕 Recent Shoppers,25,9,4620.0,513.3333333333334,5.488634479368837
3,🆕 Recent Shoppers,28,9,3495.0,388.3333333333333,5.467051408093958
3,🆕 Recent Shoppers,1,8,4008.0,501.0,4.876893288595303
3,🆕 Recent Shoppers,43,8,2568.4,321.05,4.849274631344356
3,🆕 Recent Shoppers,18,7,2758.0,394.0,4.252912098289882
3,🆕 Recent Shoppers,9,6,1480.5,246.75,3.628403321797741
3,🆕 Recent Shoppers,21,5,2652.0,530.4,3.0508784933519824
3,🆕 Recent Shoppers,53,4,1274.0,318.5,2.4244416291592854
3,🆕 Recent Shoppers,17,4,692.0,173.0,2.413275986953081
3,🆕 Recent Shoppers,19,3,1627.0,542.3333333333334,1.8312139173015365
3,🆕 Recent Shoppers,6,3,808.0,269.3333333333333,1.8155014414134243
3,🆕 Recent Shoppers,2,2,1175.0,587.5,1.2225423188870963
3,🆕 Recent Shoppers,51,2,450.0,225.0,1.2086332285099517
3,🆕 Recent Shoppers,5,1,990.0,990.0,0.6189931027218939
3,🆕 Recent Shoppers,16,1,656.0,656.0,0.6125853286722852
3,🆕 Recent Shoppers,39,1,600.0,600.0,0.6115109713466024
3,🆕 Recent Shoppers,15,1,322.0,322.0,0.6061775546226765
3,🆕 Recent Shoppers,14,1,220.0,220.0,0.6042206894937542
3,🆕 Recent Shoppers,34,1,195.0,195.0,0.6037410656876457
3,🆕 Recent Shoppers,50,1,168.0,168.0,0.6032230719770486
3,🆕 Recent Shoppers,23,1,142.0,142.0,0.6027242632186959
3,🆕 Recent Shoppers,38,1,30.0,30.0,0.6005755485673301
4,🌟 VIP Champions,8,58,325578.3,5613.418965517241,41.046204137292506
4,🌟 VIP Champions,28,17,133338.0,7843.411764705882,12.75808316235544
4,🌟 VIP Champions,3,10,10794.2,1079.42,6.207086211515826
4,🌟 VIP Champions,46,3,15980.0,5326.666666666667,2.106575536864509
4,🌟 VIP Champions,7,3,5065.5,1688.5,1.8971813755936902
4,🌟 VIP Champions,29,2,1792.0,896.0,1.2343794344218524
