User_Id,KMeans_Cluster,Cluster_Name,RFM_Score,Recency,Frequency,Total_Spend
55,3,🆕 Recent Shoppers,2.9,8,1,218.0
56,3,🆕 Recent Shoppers,3.0,178,1,986.0
57,1,😴 At-Risk/Dormant,1.6999999999999995,271,1,194.7
58,3,🆕 Recent Shoppers,2.95,53,1,390.0
59,1,😴 At-Risk/Dormant,1.35,311,1,160.0
60,3,🆕 Recent Shoppers,2.65,111,1,292.0
61,1,😴 At-Risk/Dormant,2.7,266,1,766.9
62,1,😴 At-Risk/Dormant,1.6999999999999995,297,1,250.0
63,3,🆕 Recent Shoppers,2.2,12,1,85.5
64,3,🆕 Recent Shoppers,2.65,173,1,266.0
65,3,🆕 Recent Shoppers,2.2,6,1,74.0
66,1,😴 At-Risk/Dormant,1.35,291,1,150.0
67,3,🆕 Recent Shoppers,2.55,27,1,154.0
68,0,💎 High-Value Loyalists,3.3,72,2,656.0
69,3,🆕 Recent Shoppers,2.6,42,1,250.0
70,1,😴 At-Risk/Dormant,2.3,205,1,210.0
71,3,🆕 Recent Shoppers,2.6,88,1,194.4
72,0,💎 High-Value Loyalists,3.25,11,2,290.0
73,1,😴 At-Risk/Dormant,1.35,359,1,146.0
74,1,😴 At-Risk/Dormant,1.0,292,1,94.0
75,3,🆕 Recent Shoppers,1.9,71,1,74.0
76,1,😴 At-Risk/Dormant,2.7,237,1,439.9
77,1,😴 At-Risk/Dormant,2.05,287,1,258.9
78,1,😴 At-Risk/Dormant,2.05,328,1,260.0
79,3,🆕 Recent Shoppers,3.3,45,1,470.0
80,3,🆕 Recent Shoppers,2.2,6,1,96.0
81,3,🆕 Recent Shoppers,2.2,18,1,126.0
82,3,🆕 Recent Shoppers,3.6,34,1,560.0
83,3,🆕 Recent Shoppers,3.6,3,1,1238.0
84,1,😴 At-Risk/Dormant,1.35,349,1,172.0
85,3,🆕 Recent Shoppers,2.95,80,1,267.9
86,1,😴 At-Risk/Dormant,1.2999999999999998,243,2,103.9
87,0,💎 High-Value Loyalists,3.6,13,2,1335.0
88,3,🆕 Recent Shoppers,3.3,60,1,452.0
89,1,😴 At-Risk/Dormant,1.6999999999999995,279,1,194.1
90,1,😴 At-Risk/Dormant,1.35,412,1,155.0
91,3,🆕 Recent Shoppers,3.6,24,1,748.0
92,1,😴 At-Risk/Dormant,1.6999999999999995,284,1,196.0
93,3,🆕 Recent Shoppers,3.25,22,1,314.0
94,1,😴 At-Risk/Dormant,1.65,246,1,164.0
95,3,🆕 Recent Shoppers,3.6,6,2,799.0
96,3,🆕 Recent Shoppers,2.3,104,1,196.0
97,3,🆕 Recent Shoppers,3.0,111,1,558.2
98,2,🛒 Regular Customers,3.6,24,1,1686.0
99,1,😴 At-Risk/Dormant,1.2999999999999998,258,1,119.0
100,1,😴 At-Risk/Dormant,1.95,168,1,175.6
101,1,😴 At-Risk/Dormant,2.3,174,1,232.0
102,3,🆕 Recent Shoppers,2.95,41,1,264.0
103,2,🛒 Regular Customers,3.6,20,1,1562.0
104,3,🆕 Recent Shoppers,2.9,30,1,240.0
105,0,💎 High-Value Loyalists,3.3,50,2,827.9
106,1,😴 At-Risk/Dormant,1.65,265,1,172.0
107,0,💎 High-Value Loyalists,3.25,27,6,350.0
108,2,🛒 Regular Customers,2.7,250,1,1570.0
109,3,🆕 Recent Shoppers,2.6,70,1,210.5
110,1,😴 At-Risk/Dormant,1.65,269,1,153.0
111,3,🆕 Recent Shoppers,2.9,6,1,239.0
112,3,🆕 Recent Shoppers,2.6,63,2,254.0
113,2,🛒 Regular Customers,2.7,266,1,3862.0
114,1,😴 At-Risk/Dormant,2.35,229,1,376.0
115,3,🆕 Recent Shoppers,2.95,70,1,332.0
116,1,😴 At-Risk/Dormant,1.35,276,1,171.7
117,3,🆕 Recent Shoppers,3.3,36,1,552.0
118,1,😴 At-Risk/Dormant,1.6999999999999995,308,1,201.6
119,1,😴 At-Risk/Dormant,2.7,248,1,500.0
120,1,😴 At-Risk/Dormant,1.35,304,1,150.0
121,2,🛒 Regular Customers,3.0,127,1,2118.0
122,1,😴 At-Risk/Dormant,1.0,325,1,133.3
123,1,😴 At-Risk/Dormant,1.0,307,1,100.0
124,1,😴 At-Risk/Dormant,1.65,234,1,175.8
125,3,🆕 Recent Shoppers,3.0,201,1,711.3
126,0,💎 High-Value Loyalists,3.6,34,2,723.0
127,3,🆕 Recent Shoppers,2.55,34,1,145.0
128,0,💎 High-Value Loyalists,2.65,181,2,378.0
129,3,🆕 Recent Shoppers,2.95,69,1,330.0
130,3,🆕 Recent Shoppers,2.95,62,1,336.0
131,3,🆕 Recent Shoppers,2.95,47,1,348.0
132,3,🆕 Recent Shoppers,2.3,101,1,220.0
133,1,😴 At-Risk/Dormant,1.65,261,1,164.1
134,1,😴 At-Risk/Dormant,1.0,527,1,66.0
135,3,🆕 Recent Shoppers,3.25,34,1,267.0
136,2,🛒 Regular Customers,3.0,203,1,2150.0
137,3,🆕 Recent Shoppers,2.95,91,1,377.6
138,2,🛒 Regular Customers,2.7,248,1,1606.0
139,1,😴 At-Risk/Dormant,1.2999999999999998,237,1,138.0
140,1,😴 At-Risk/Dormant,1.0,426,1,59.6
141,0,💎 High-Value Loyalists,1.9,50,2,128.0
142,3,🆕 Recent Shoppers,2.95,74,1,326.0
143,1,😴 At-Risk/Dormant,2.0,233,1,196.0
144,0,💎 High-Value Loyalists,3.25,25,2,306.0
145,0,💎 High-Value Loyalists,3.3,79,2,1276.4
146,1,😴 At-Risk/Dormant,1.6,131,1,104.0
147,3,🆕 Recent Shoppers,3.6,20,1,491.0
148,1,😴 At-Risk/Dormant,1.6999999999999995,346,1,244.0
149,1,😴 At-Risk/Dormant,1.0,285,1,112.0
150,3,🆕 Recent Shoppers,2.7,228,1,786.0
151,1,😴 At-Risk/Dormant,2.3,197,1,194.0
152,3,🆕 Recent Shoppers,3.6,11,1,1106.0
153,1,😴 At-Risk/Dormant,1.35,319,1,158.0
154,1,😴 At-Risk/Dormant,1.0,300,1,132.0
155,1,😴 At-Risk/Dormant,1.35,279,1,170.0
156,3,🆕 Recent Shoppers,2.6,73,1,198.5
157,3,🆕 Recent Shoppers,2.25,77,1,185.0
158,0,💎 High-Value Loyalists,3.3,60,2,484.0
159,2,🛒 Regular Customers,3.0,181,1,2612.0
160,0,💎 High-Value Loyalists,1.6,110,2,133.5
161,1,😴 At-Risk/Dormant,2.7,251,1,540.0
162,1,😴 At-Risk/Dormant,2.0,237,1,218.0
163,3,🆕 Recent Shoppers,3.6,19,1,696.0
164,1,😴 At-Risk/Dormant,2.35,228,1,324.0
165,3,🆕 Recent Shoppers,1.9,36,1,130.0
166,1,😴 At-Risk/Dormant,2.35,251,1,327.0
167,3,🆕 Recent Shoppers,3.6,27,1,885.0
168,0,💎 High-Value Loyalists,3.3,60,2,993.2
169,3,🆕 Recent Shoppers,2.9,34,1,255.0
170,1,😴 At-Risk/Dormant,1.6,210,1,20.0
171,1,😴 At-Risk/Dormant,1.6999999999999995,292,1,212.6
172,1,😴 At-Risk/Dormant,2.0,222,1,196.0
173,1,😴 At-Risk/Dormant,2.35,249,1,338.0
174,1,😴 At-Risk/Dormant,1.0,444,1,120.1
175,1,😴 At-Risk/Dormant,1.0,296,1,83.3
176,1,😴 At-Risk/Dormant,2.4,320,1,528.0
177,3,🆕 Recent Shoppers,2.95,88,1,404.0
178,1,😴 At-Risk/Dormant,2.35,249,2,282.0
179,1,😴 At-Risk/Dormant,1.95,179,1,146.0
180,3,🆕 Recent Shoppers,2.6,71,1,240.0
181,1,😴 At-Risk/Dormant,1.2999999999999998,266,1,76.0
182,3,🆕 Recent Shoppers,2.55,20,1,180.0
183,3,🆕 Recent Shoppers,3.3,49,1,506.0
184,1,😴 At-Risk/Dormant,1.6999999999999995,410,1,226.0
185,3,🆕 Recent Shoppers,2.25,69,1,138.8
186,3,🆕 Recent Shoppers,2.2,20,1,114.0
187,0,💎 High-Value Loyalists,3.6,34,2,720.0
188,3,🆕 Recent Shoppers,2.65,211,1,320.0
189,3,🆕 Recent Shoppers,2.95,53,1,334.0
190,1,😴 At-Risk/Dormant,1.6999999999999995,360,1,229.0
191,3,🆕 Recent Shoppers,2.6,91,1,228.0
192,3,🆕 Recent Shoppers,2.95,41,1,266.0
193,1,😴 At-Risk/Dormant,1.95,213,1,174.0
194,3,🆕 Recent Shoppers,1.9,41,1,87.0
195,1,😴 At-Risk/Dormant,1.0,307,1,92.5
196,1,😴 At-Risk/Dormant,1.2999999999999998,260,1,105.0
197,1,😴 At-Risk/Dormant,1.2999999999999998,255,1,96.0
198,1,😴 At-Risk/Dormant,1.35,315,1,158.0
199,1,😴 At-Risk/Dormant,1.6,201,1,110.0
200,3,🆕 Recent Shoppers,2.95,81,1,344.0
201,3,🆕 Recent Shoppers,3.6,6,1,677.0
202,0,💎 High-Value Loyalists,3.6,33,5,2596.7
203,3,🆕 Recent Shoppers,3.3,55,1,1276.0
204,3,🆕 Recent Shoppers,2.2,20,1,60.0
205,3,🆕 Recent Shoppers,2.95,37,2,368.0
206,1,😴 At-Risk/Dormant,2.0,238,1,199.1
207,3,🆕 Recent Shoppers,2.6,40,1,212.0
208,1,😴 At-Risk/Dormant,1.2999999999999998,260,1,109.0
209,3,🆕 Recent Shoppers,1.95,131,1,184.0
210,3,🆕 Recent Shoppers,3.6,13,1,695.0
211,2,🛒 Regular Customers,2.7,260,1,2883.0
212,2,🛒 Regular Customers,3.3,41,2,2441.0
213,1,😴 At-Risk/Dormant,1.35,315,1,184.0
214,3,🆕 Recent Shoppers,3.3,42,1,600.0
215,3,🆕 Recent Shoppers,2.3,153,1,239.9
216,1,😴 At-Risk/Dormant,1.6999999999999995,282,1,198.0
217,3,🆕 Recent Shoppers,2.65,102,1,256.0
218,3,🆕 Recent Shoppers,3.3,68,1,1173.4
219,1,😴 At-Risk/Dormant,1.35,389,1,147.2
220,0,💎 High-Value Loyalists,3.0,164,2,580.0
221,3,🆕 Recent Shoppers,2.6,76,1,190.0
222,1,😴 At-Risk/Dormant,1.2999999999999998,256,1,53.0
223,3,🆕 Recent Shoppers,2.9,33,1,210.0
224,1,😴 At-Risk/Dormant,2.0,224,1,192.0
225,3,🆕 Recent Shoppers,2.2,21,1,102.0
226,1,😴 At-Risk/Dormant,1.6999999999999995,301,2,191.0
227,3,🆕 Recent Shoppers,2.65,161,1,296.0
228,1,😴 At-Risk/Dormant,1.65,255,1,141.0
229,3,🆕 Recent Shoppers,2.9,33,1,214.0
230,3,🆕 Recent Shoppers,3.25,27,1,412.0
231,1,😴 At-Risk/Dormant,2.35,250,1,364.0
232,3,🆕 Recent Shoppers,2.3,136,1,222.8
233,3,🆕 Recent Shoppers,3.0,141,1,876.0
234,0,💎 High-Value Loyalists,3.3,54,2,1078.0
235,1,😴 At-Risk/Dormant,1.6,118,1,74.0
236,3,🆕 Recent Shoppers,2.25,93,1,168.0
237,1,😴 At-Risk/Dormant,2.0,259,1,213.0
238,3,🆕 Recent Shoppers,1.95,129,1,166.0
239,3,🆕 Recent Shoppers,2.9,27,1,212.5
240,1,😴 At-Risk/Dormant,1.2999999999999998,261,1,121.7
241,3,🆕 Recent Shoppers,3.25,34,1,280.0
242,3,🆕 Recent Shoppers,3.6,22,1,590.0
243,3,🆕 Recent Shoppers,2.25,51,1,160.0
244,3,🆕 Recent Shoppers,2.6,40,1,200.0
245,1,😴 At-Risk/Dormant,2.35,266,1,288.0
246,1,😴 At-Risk/Dormant,2.0,244,1,207.8
247,1,😴 At-Risk/Dormant,2.05,388,2,270.0
248,3,🆕 Recent Shoppers,2.3,140,1,198.0
249,3,🆕 Recent Shoppers,2.25,77,1,139.2
250,1,😴 At-Risk/Dormant,2.0,222,1,197.6
251,3,🆕 Recent Shoppers,3.0,102,1,492.0
252,3,🆕 Recent Shoppers,2.2,13,1,130.0
253,0,💎 High-Value Loyalists,2.35,250,2,388.0
254,1,😴 At-Risk/Dormant,1.2999999999999998,246,1,106.0
255,3,🆕 Recent Shoppers,1.95,125,1,184.0
256,3,🆕 Recent Shoppers,2.3,121,1,192.0
257,0,💎 High-Value Loyalists,2.95,36,3,346.0
258,3,🆕 Recent Shoppers,3.25,34,1,283.0
259,3,🆕 Recent Shoppers,3.3,49,1,578.0
260,3,🆕 Recent Shoppers,2.9,27,1,190.0
261,3,🆕 Recent Shoppers,2.65,135,1,418.0
262,3,🆕 Recent Shoppers,2.95,50,1,394.0
263,3,🆕 Recent Shoppers,2.6,71,1,196.0
264,3,🆕 Recent Shoppers,2.2,13,1,113.0
265,1,😴 At-Risk/Dormant,1.6,200,1,109.4
266,3,🆕 Recent Shoppers,2.6,70,1,238.0
267,0,💎 High-Value Loyalists,3.3,41,3,2884.0
268,1,😴 At-Risk/Dormant,1.0,271,1,114.4
269,3,🆕 Recent Shoppers,2.65,112,1,264.0
270,2,🛒 Regular Customers,3.0,118,2,4364.0
271,1,😴 At-Risk/Dormant,1.65,244,1,170.0
272,1,😴 At-Risk/Dormant,1.0,384,1,56.0
273,1,😴 At-Risk/Dormant,1.95,156,1,154.2
274,0,💎 High-Value Loyalists,3.25,32,2,260.0
275,1,😴 At-Risk/Dormant,1.35,305,2,166.0
276,1,😴 At-Risk/Dormant,1.35,285,1,184.0
277,1,😴 At-Risk/Dormant,2.3,188,1,229.0
278,1,😴 At-Risk/Dormant,2.35,220,1,294.7
279,3,🆕 Recent Shoppers,2.3,114,1,204.0
280,3,🆕 Recent Shoppers,2.95,47,1,300.0
281,3,🆕 Recent Shoppers,2.9,20,1,212.0
282,3,🆕 Recent Shoppers,2.25,66,1,188.0
283,1,😴 At-Risk/Dormant,1.0,373,1,96.0
284,3,🆕 Recent Shoppers,1.95,111,1,172.0
285,1,😴 At-Risk/Dormant,2.7,245,1,494.0
286,3,🆕 Recent Shoppers,2.9,26,1,188.5
287,0,💎 High-Value Loyalists,3.3,39,6,1412.0
288,1,😴 At-Risk/Dormant,2.0,264,1,210.0
289,1,😴 At-Risk/Dormant,1.6,210,1,60.0
290,1,😴 At-Risk/Dormant,1.6,102,1,90.0
291,1,😴 At-Risk/Dormant,2.35,264,1,258.0
292,3,🆕 Recent Shoppers,2.2,20,1,55.0
293,3,🆕 Recent Shoppers,2.6,41,1,244.0
294,0,💎 High-Value Loyalists,3.6,34,3,1656.0
295,1,😴 At-Risk/Dormant,1.2999999999999998,231,1,98.0
296,1,😴 At-Risk/Dormant,1.6999999999999995,273,1,204.0
297,0,💎 High-Value Loyalists,2.95,41,2,351.3
298,3,🆕 Recent Shoppers,2.55,6,1,146.0
299,0,💎 High-Value Loyalists,2.9,12,2,250.0
300,1,😴 At-Risk/Dormant,1.95,153,1,182.2
301,1,😴 At-Risk/Dormant,1.95,210,1,156.0
302,1,😴 At-Risk/Dormant,2.4,309,1,500.0
303,3,🆕 Recent Shoppers,2.2,20,1,132.0
304,1,😴 At-Risk/Dormant,1.35,286,1,140.1
305,3,🆕 Recent Shoppers,2.95,46,1,390.0
306,3,🆕 Recent Shoppers,2.65,164,1,274.5
307,3,🆕 Recent Shoppers,3.0,134,1,500.0
308,3,🆕 Recent Shoppers,2.2,27,1,108.0
309,1,😴 At-Risk/Dormant,1.0,297,1,104.0
310,3,🆕 Recent Shoppers,2.25,57,1,153.7
311,3,🆕 Recent Shoppers,2.95,79,1,410.0
312,3,🆕 Recent Shoppers,2.2,9,1,132.0
313,0,💎 High-Value Loyalists,3.6,5,2,681.0
314,1,😴 At-Risk/Dormant,1.2999999999999998,253,1,121.0
315,3,🆕 Recent Shoppers,2.3,136,1,202.0
316,1,😴 At-Risk/Dormant,1.6,204,1,126.0
317,3,🆕 Recent Shoppers,2.65,190,1,384.0
318,1,😴 At-Risk/Dormant,1.65,246,1,174.0
319,3,🆕 Recent Shoppers,2.9,27,1,200.0
320,3,🆕 Recent Shoppers,2.95,78,1,316.6
321,3,🆕 Recent Shoppers,1.9,35,1,120.0
322,3,🆕 Recent Shoppers,2.9,27,1,243.0
323,1,😴 At-Risk/Dormant,1.0,374,1,136.8
324,1,😴 At-Risk/Dormant,2.05,327,1,294.8
325,3,🆕 Recent Shoppers,2.25,96,1,150.0
326,1,😴 At-Risk/Dormant,1.2999999999999998,260,1,122.5
327,1,😴 At-Risk/Dormant,1.65,265,1,168.3
328,1,😴 At-Risk/Dormant,1.2999999999999998,259,1,76.5
329,3,🆕 Recent Shoppers,3.3,66,1,1246.0
330,1,😴 At-Risk/Dormant,1.65,236,1,170.0
331,1,😴 At-Risk/Dormant,2.0,217,1,238.4
332,3,🆕 Recent Shoppers,2.55,32,1,164.0
333,1,😴 At-Risk/Dormant,1.65,269,1,155.0
334,1,😴 At-Risk/Dormant,1.95,152,1,186.0
335,1,😴 At-Risk/Dormant,1.35,333,1,144.0
336,3,🆕 Recent Shoppers,3.6,6,1,650.0
337,0,💎 High-Value Loyalists,2.35,231,2,298.0
338,3,🆕 Recent Shoppers,3.3,39,1,594.0
339,0,💎 High-Value Loyalists,3.0,131,2,900.5
340,3,🆕 Recent Shoppers,1.95,126,1,163.6
341,3,🆕 Recent Shoppers,1.9,37,1,60.0
342,3,🆕 Recent Shoppers,3.6,21,1,450.0
343,1,😴 At-Risk/Dormant,2.05,299,1,380.0
344,0,💎 High-Value Loyalists,2.95,45,2,405.6
345,3,🆕 Recent Shoppers,2.6,60,1,200.0
346,3,🆕 Recent Shoppers,2.6,35,1,209.6
347,1,😴 At-Risk/Dormant,1.0,308,1,124.0
348,1,😴 At-Risk/Dormant,1.2999999999999998,269,1,107.1
349,0,💎 High-Value Loyalists,3.0,130,2,434.0
350,3,🆕 Recent Shoppers,2.65,161,1,388.0
351,1,😴 At-Risk/Dormant,2.3,201,1,204.0
352,3,🆕 Recent Shoppers,3.6,20,1,653.0
353,1,😴 At-Risk/Dormant,1.0,340,1,132.0
354,0,💎 High-Value Loyalists,3.3,60,2,1306.0
355,3,🆕 Recent Shoppers,2.65,115,2,284.0
356,3,🆕 Recent Shoppers,1.95,115,1,146.0
357,1,😴 At-Risk/Dormant,2.7,234,1,440.0
358,1,😴 At-Risk/Dormant,1.2999999999999998,257,1,94.5
359,1,😴 At-Risk/Dormant,1.35,350,1,160.0
360,1,😴 At-Risk/Dormant,2.4,352,1,480.0
361,3,🆕 Recent Shoppers,2.65,112,1,260.0
362,1,😴 At-Risk/Dormant,2.35,225,1,394.0
363,3,🆕 Recent Shoppers,2.9,19,1,222.0
364,3,🆕 Recent Shoppers,2.55,19,1,180.0
365,3,🆕 Recent Shoppers,2.6,51,1,224.0
366,1,😴 At-Risk/Dormant,2.3,180,1,194.0
367,1,😴 At-Risk/Dormant,2.4,335,1,456.0
368,1,😴 At-Risk/Dormant,1.65,261,1,142.0
369,1,😴 At-Risk/Dormant,1.35,315,1,139.8
370,1,😴 At-Risk/Dormant,2.35,269,1,300.0
371,3,🆕 Recent Shoppers,3.3,78,1,622.0
372,1,😴 At-Risk/Dormant,2.7,258,1,439.0
373,3,🆕 Recent Shoppers,2.9,34,1,220.0
374,1,😴 At-Risk/Dormant,2.35,231,1,284.0
375,1,😴 At-Risk/Dormant,1.0,363,1,80.0
376,1,😴 At-Risk/Dormant,1.35,322,1,182.0
377,1,😴 At-Risk/Dormant,2.35,252,1,264.8
378,3,🆕 Recent Shoppers,2.65,197,1,288.0
379,3,🆕 Recent Shoppers,2.6,38,1,220.0
380,1,😴 At-Risk/Dormant,1.0,427,1,104.0
381,3,🆕 Recent Shoppers,2.6,58,1,240.0
382,1,😴 At-Risk/Dormant,1.6,202,1,138.0
383,3,🆕 Recent Shoppers,2.95,92,1,424.0
384,0,💎 High-Value Loyalists,3.6,23,2,1018.0
385,0,💎 High-Value Loyalists,3.25,17,2,341.0
386,3,🆕 Recent Shoppers,2.95,58,2,384.0
387,3,🆕 Recent Shoppers,2.6,92,1,216.9
388,3,🆕 Recent Shoppers,2.3,123,1,232.0
389,3,🆕 Recent Shoppers,2.55,27,1,181.0
390,1,😴 At-Risk/Dormant,2.05,285,1,278.0
391,1,😴 At-Risk/Dormant,2.0,232,1,232.0
392,3,🆕 Recent Shoppers,2.95,55,1,284.6
393,2,🛒 Regular Customers,3.6,33,1,1490.0
394,3,🆕 Recent Shoppers,2.65,141,1,378.0
395,2,🛒 Regular Customers,3.6,34,1,1371.0
396,3,🆕 Recent Shoppers,3.25,9,1,274.0
397,1,😴 At-Risk/Dormant,2.3,214,1,190.0
398,1,😴 At-Risk/Dormant,2.4,299,1,523.5
399,3,🆕 Recent Shoppers,3.6,11,1,626.0
400,1,😴 At-Risk/Dormant,2.7,233,1,504.0
401,1,😴 At-Risk/Dormant,1.0,362,1,137.3
402,1,😴 At-Risk/Dormant,1.6,143,1,91.0
403,3,🆕 Recent Shoppers,2.3,121,1,213.0
404,1,😴 At-Risk/Dormant,1.0,471,1,42.0
405,3,🆕 Recent Shoppers,2.9,1,1,192.0
406,3,🆕 Recent Shoppers,3.6,34,1,438.5
407,3,🆕 Recent Shoppers,2.2,20,1,61.0
408,3,🆕 Recent Shoppers,2.65,102,1,262.0
409,1,😴 At-Risk/Dormant,2.7,269,1,451.0
410,3,🆕 Recent Shoppers,2.95,51,1,284.0
411,3,🆕 Recent Shoppers,2.65,194,1,376.0
412,2,🛒 Regular Customers,2.7,251,2,2290.0
413,1,😴 At-Risk/Dormant,1.2999999999999998,225,1,120.0
414,3,🆕 Recent Shoppers,2.6,41,1,255.0
415,1,😴 At-Risk/Dormant,1.2999999999999998,257,1,45.0
416,3,🆕 Recent Shoppers,2.2,2,1,124.0
417,3,🆕 Recent Shoppers,1.95,137,1,154.0
418,1,😴 At-Risk/Dormant,1.6999999999999995,291,1,234.0
419,1,😴 At-Risk/Dormant,1.0,270,1,102.0
420,3,🆕 Recent Shoppers,2.3,165,1,248.0
421,1,😴 At-Risk/Dormant,2.3,206,1,242.0
422,3,🆕 Recent Shoppers,2.55,16,1,154.0
423,1,😴 At-Risk/Dormant,1.0,301,1,106.0
424,3,🆕 Recent Shoppers,2.9,34,1,250.0
425,3,🆕 Recent Shoppers,2.2,6,1,68.0
426,1,😴 At-Risk/Dormant,2.05,329,2,258.0
427,1,😴 At-Risk/Dormant,1.65,269,1,143.0
428,1,😴 At-Risk/Dormant,2.35,252,1,307.0
429,3,🆕 Recent Shoppers,2.6,65,1,202.0
430,3,🆕 Recent Shoppers,1.9,44,1,80.0
431,1,😴 At-Risk/Dormant,1.35,281,1,146.3
432,3,🆕 Recent Shoppers,2.95,83,1,257.0
433,1,😴 At-Risk/Dormant,1.35,327,1,174.0
434,0,💎 High-Value Loyalists,3.6,29,2,539.0
435,1,😴 At-Risk/Dormant,2.05,272,1,314.0
436,3,🆕 Recent Shoppers,3.6,20,1,1127.0
437,3,🆕 Recent Shoppers,2.25,77,1,176.0
438,1,😴 At-Risk/Dormant,1.0,303,1,120.0
439,3,🆕 Recent Shoppers,2.3,107,1,220.0
440,3,🆕 Recent Shoppers,2.25,84,1,154.0
441,3,🆕 Recent Shoppers,3.6,23,1,430.0
442,1,😴 At-Risk/Dormant,1.6,144,1,118.0
443,1,😴 At-Risk/Dormant,1.65,258,1,142.8
444,3,🆕 Recent Shoppers,2.95,70,1,374.0
445,1,😴 At-Risk/Dormant,1.65,236,1,150.0
446,3,🆕 Recent Shoppers,3.0,160,1,924.0
447,3,🆕 Recent Shoppers,2.2,21,1,110.0
448,0,💎 High-Value Loyalists,2.0,256,3,232.0
449,3,🆕 Recent Shoppers,1.95,101,1,186.4
450,1,😴 At-Risk/Dormant,1.0,276,1,132.0
451,1,😴 At-Risk/Dormant,2.7,261,1,451.0
452,4,🌟 VIP Champions,3.3,41,3,31644.0
453,0,💎 High-Value Loyalists,2.6,56,2,234.0
454,1,😴 At-Risk/Dormant,1.2999999999999998,237,1,64.0
455,3,🆕 Recent Shoppers,2.3,141,1,199.8
456,1,😴 At-Risk/Dormant,1.6,145,1,106.0
457,1,😴 At-Risk/Dormant,1.6999999999999995,303,1,216.0
458,1,😴 At-Risk/Dormant,1.65,250,1,144.0
459,0,💎 High-Value Loyalists,2.35,245,3,314.0
460,3,🆕 Recent Shoppers,2.65,192,1,406.0
461,1,😴 At-Risk/Dormant,1.6,144,1,56.0
462,3,🆕 Recent Shoppers,2.55,26,1,156.0
463,1,😴 At-Risk/Dormant,1.95,210,1,142.0
464,1,😴 At-Risk/Dormant,2.7,233,1,500.0
465,1,😴 At-Risk/Dormant,1.0,365,1,134.0
